,ALLSKY_SFC_SW_DWN,WS10M,T2M,PRECTOTCORR,provincia
2020-01-01,147.88,1.19,13.75,4.33,Azuay
2020-01-02,164.01,1.83,14.18,2.17,Azuay
2020-01-03,154.05,1.91,13.95,3.6,Azuay
2020-01-04,201.1,0.97,15.29,0.41,Azuay
2020-01-05,158.19,1.62,15.7,1.23,Azuay
2020-01-06,175.99,1.51,15.81,0.42,Azuay
2020-01-07,139.63,2.66,15.09,0.0,Azuay
2020-01-08,202.4,2.76,14.72,0.0,Azuay
2020-01-09,241.78,3.84,13.47,0.18,Azuay
2020-01-10,187.6,3.86,13.05,2.35,Azuay
2020-01-11,158.92,3.82,12.87,1.36,Azuay
2020-01-12,159.4,4.35,13.25,1.55,Azuay
2020-01-13,176.54,4.22,13.56,0.7,Azuay
2020-01-14,163.81,4.19,13.53,1.04,Azuay
2020-01-15,140.97,4.06,14.02,0.21,Azuay
2020-01-16,152.91,4.88,14.04,3.68,Azuay
2020-01-17,184.29,5.96,13.78,4.06,Azuay
2020-01-18,163.66,6.32,13.13,1.76,Azuay
2020-01-19,149.9,4.68,12.65,2.58,Azuay
2020-01-20,190.48,2.79,13.63,16.45,Azuay
2020-01-21,146.33,1.85,15.38,1.75,Azuay
2020-01-22,183.65,1.5,16.44,0.21,Azuay
2020-01-23,154.62,1.37,14.62,0.27,Azuay
2020-01-24,193.0,2.25,14.92,2.89,Azuay
2020-01-25,161.07,1.66,14.11,17.85,Azuay
2020-01-26,189.42,1.63,14.98,2.99,Azuay
2020-01-27,176.92,1.81,15.44,0.55,Azuay
2020-01-28,130.99,1.32,15.69,3.04,Azuay
2020-01-29,174.13,1.52,14.42,6.27,Azuay
2020-01-30,188.37,2.81,14.62,0.6,Azuay
2020-01-31,184.55,4.04,13.73,0.69,Azuay
2020-02-01,126.67,3.65,12.75,5.81,Azuay
2020-02-02,173.6,3.08,12.93,5.92,Azuay
2020-02-03,185.0,3.23,13.93,0.42,Azuay
2020-02-04,202.55,2.89,13.98,0.05,Azuay
2020-02-05,148.23,2.48,14.75,0.0,Azuay
2020-02-06,215.95,2.33,15.24,0.0,Azuay
2020-02-07,161.68,2.58,14.54,0.2,Azuay
2020-02-08,171.83,1.96,15.4,2.52,Azuay
2020-02-09,190.3,3.07,14.99,5.33,Azuay
2020-02-10,161.97,4.37,14.18,1.41,Azuay
2020-02-11,186.17,3.79,13.37,0.0,Azuay
2020-02-12,163.82,3.72,14.05,4.87,Azuay
2020-02-13,159.81,3.39,14.9,1.69,Azuay
2020-02-14,148.11,3.98,15.23,1.65,Azuay
2020-02-15,102.59,4.62,14.58,3.86,Azuay
2020-02-16,166.48,3.84,13.74,2.37,Azuay
2020-02-17,174.15,4.19,14.06,0.88,Azuay
2020-02-18,159.57,4.97,14.29,0.44,Azuay
2020-02-19,154.66,4.04,15.09,1.59,Azuay
2020-02-20,161.3,2.59,15.53,0.44,Azuay
2020-02-21,144.01,1.48,15.39,8.34,Azuay
2020-02-22,203.7,1.74,15.03,7.21,Azuay
2020-02-23,187.24,2.8,14.14,7.84,Azuay
2020-02-24,110.29,1.82,15.33,1.61,Azuay
2020-02-25,175.29,2.14,15.79,5.83,Azuay
2020-02-26,185.29,1.49,15.06,9.05,Azuay
2020-02-27,168.43,2.27,14.14,16.42,Azuay
2020-02-28,169.99,2.65,14.77,2.8,Azuay
2020-02-29,93.31,2.82,14.94,0.21,Azuay
2020-03-01,133.93,2.69,14.25,2.71,Azuay
2020-03-02,113.84,3.35,14.56,3.81,Azuay
2020-03-03,150.87,3.02,14.23,0.87,Azuay
2020-03-04,165.75,4.31,15.08,1.61,Azuay
2020-03-05,115.58,5.02,14.99,2.94,Azuay
2020-03-06,119.2,3.36,14.48,1.25,Azuay
2020-03-07,164.61,3.22,15.17,5.93,Azuay
2020-03-08,167.42,2.99,15.5,1.23,Azuay
2020-03-09,160.62,4.77,15.61,1.96,Azuay
2020-03-10,132.93,3.87,14.65,1.78,Azuay
2020-03-11,147.81,2.83,14.42,3.23,Azuay
2020-03-12,168.16,2.31,14.64,2.21,Azuay
2020-03-13,183.27,2.97,14.91,10.42,Azuay
2020-03-14,176.56,2.19,14.03,4.51,Azuay
2020-03-15,200.44,2.33,15.4,1.44,Azuay
2020-03-16,174.05,2.19,14.85,0.33,Azuay
2020-03-17,201.79,2.01,14.21,0.12,Azuay
2020-03-18,169.74,1.79,14.52,0.02,Azuay
2020-03-19,187.63,1.85,14.88,0.01,Azuay
2020-03-20,196.09,1.83,14.94,0.01,Azuay
2020-03-21,247.94,1.42,14.96,0.0,Azuay
2020-03-22,210.17,1.73,14.63,0.1,Azuay
2020-03-23,193.05,2.7,13.77,0.01,Azuay
2020-03-24,203.05,2.84,14.2,0.06,Azuay
2020-03-25,167.12,2.47,14.75,0.04,Azuay
2020-03-26,170.71,1.87,15.17,0.0,Azuay
2020-03-27,109.5,2.43,15.1,0.0,Azuay
2020-03-28,156.51,3.11,15.22,0.0,Azuay
2020-03-29,123.84,3.87,14.71,0.0,Azuay
2020-03-30,118.1,3.97,13.98,0.03,Azuay
2020-03-31,181.68,2.59,13.76,0.08,Azuay
2020-04-01,160.64,2.8,14.22,15.24,Azuay
2020-04-02,190.33,3.42,12.96,34.65,Azuay
2020-04-03,207.05,4.03,12.89,2.32,Azuay
2020-04-04,172.28,3.05,13.79,5.74,Azuay
2020-04-05,210.78,2.72,14.35,11.59,Azuay
2020-04-06,191.97,4.29,14.28,1.82,Azuay
2020-04-07,164.59,3.89,14.18,4.14,Azuay
2020-04-08,153.84,3.68,13.1,3.22,Azuay
2020-04-09,166.18,2.88,12.87,1.88,Azuay
2020-04-10,207.97,3.07,14.09,1.24,Azuay
2020-04-11,140.62,1.91,14.49,4.09,Azuay
2020-04-12,183.57,1.69,13.83,12.5,Azuay
2020-04-13,197.92,2.03,14.54,2.53,Azuay
2020-04-14,149.06,1.56,14.96,0.06,Azuay
2020-04-15,173.61,1.71,13.97,2.81,Azuay
2020-04-16,211.83,2.11,13.69,4.19,Azuay
2020-04-17,176.69,2.44,12.07,2.33,Azuay
2020-04-18,170.17,3.66,12.06,4.71,Azuay
2020-04-19,194.98,3.26,12.2,0.42,Azuay
2020-04-20,218.67,2.88,12.0,0.0,Azuay
2020-04-21,225.08,2.56,12.59,0.0,Azuay
2020-04-22,213.06,2.13,13.06,0.47,Azuay
2020-04-23,189.9,2.53,13.89,0.57,Azuay
2020-04-24,198.18,1.92,14.24,7.78,Azuay
2020-04-25,175.94,2.06,14.62,9.42,Azuay
2020-04-26,172.86,3.28,13.76,2.88,Azuay
2020-04-27,186.12,3.66,12.57,5.34,Azuay
2020-04-28,170.59,3.09,12.55,3.71,Azuay
2020-04-29,169.78,3.05,13.35,1.48,Azuay
2020-04-30,183.59,4.1,14.13,4.73,Azuay
2020-05-01,179.74,5.17,13.51,8.66,Azuay
2020-05-02,156.13,4.63,13.03,6.23,Azuay
2020-05-03,166.95,3.67,13.59,7.45,Azuay
2020-05-04,143.85,3.08,13.05,5.5,Azuay
2020-05-05,154.23,2.31,13.85,0.72,Azuay
2020-05-06,116.61,2.85,13.68,5.17,Azuay
2020-05-07,163.85,3.66,13.24,3.42,Azuay
2020-05-08,178.43,5.23,13.16,19.66,Azuay
2020-05-09,197.78,5.07,13.46,8.75,Azuay
2020-05-10,148.22,3.18,13.89,0.11,Azuay
2020-05-11,170.18,1.85,15.07,4.39,Azuay
2020-05-12,166.7,1.52,15.17,9.12,Azuay
2020-05-13,161.45,1.37,14.04,4.94,Azuay
2020-05-14,128.56,2.42,13.91,0.92,Azuay
2020-05-15,148.19,3.06,12.69,0.13,Azuay
2020-05-16,146.14,5.19,12.93,0.0,Azuay
2020-05-17,166.42,4.18,13.09,0.24,Azuay
2020-05-18,173.7,3.06,12.54,1.61,Azuay
2020-05-19,122.75,3.69,12.75,2.61,Azuay
2020-05-20,187.04,3.73,11.94,0.51,Azuay
2020-05-21,149.52,3.59,12.58,0.9,Azuay
2020-05-22,160.27,3.65,12.63,1.62,Azuay
2020-05-23,159.65,4.56,12.71,6.31,Azuay
2020-05-24,153.18,4.81,11.52,9.89,Azuay
2020-05-25,164.57,4.13,11.7,5.69,Azuay
2020-05-26,148.04,4.92,11.97,0.62,Azuay
2020-05-27,152.28,3.68,12.75,0.18,Azuay
2020-05-28,175.92,2.35,13.59,0.01,Azuay
2020-05-29,173.64,1.88,13.62,5.33,Azuay
2020-05-30,166.0,2.14,13.41,6.22,Azuay
2020-05-31,150.46,2.11,13.16,3.72,Azuay
2020-06-01,153.44,2.69,12.58,3.74,Azuay
2020-06-02,150.93,2.1,13.43,0.44,Azuay
2020-06-03,147.7,2.12,13.88,0.17,Azuay
2020-06-04,123.96,3.3,13.34,0.84,Azuay
2020-06-05,126.55,4.26,12.27,3.87,Azuay
2020-06-06,135.84,3.2,11.6,0.26,Azuay
2020-06-07,201.62,3.57,11.99,1.11,Azuay
2020-06-08,124.26,3.5,10.89,0.76,Azuay
2020-06-09,132.91,3.08,12.02,0.23,Azuay
2020-06-10,187.09,2.35,12.6,0.03,Azuay
2020-06-11,172.11,1.9,12.18,0.0,Azuay
2020-06-12,208.65,1.5,13.35,0.0,Azuay
2020-06-13,175.93,2.78,13.35,1.7,Azuay
2020-06-14,101.03,5.46,12.78,3.47,Azuay
2020-06-15,142.23,5.02,11.88,3.56,Azuay
2020-06-16,152.43,3.92,11.97,3.26,Azuay
2020-06-17,121.33,2.97,12.66,1.12,Azuay
2020-06-18,123.41,3.29,12.67,0.57,Azuay
2020-06-19,151.78,3.31,11.77,6.02,Azuay
2020-06-20,128.84,4.13,11.57,3.86,Azuay
2020-06-21,95.55,4.54,10.73,3.32,Azuay
2020-06-22,127.64,4.0,11.52,0.63,Azuay
2020-06-23,170.98,3.45,11.5,2.19,Azuay
2020-06-24,138.54,2.73,12.68,4.89,Azuay
2020-06-25,139.59,3.43,12.39,4.27,Azuay
2020-06-26,106.49,4.06,11.46,6.44,Azuay
2020-06-27,163.98,3.55,11.82,2.03,Azuay
2020-06-28,127.64,3.51,12.05,1.47,Azuay
2020-06-29,125.03,3.26,12.17,1.73,Azuay
2020-06-30,125.15,2.88,12.43,1.85,Azuay
2020-07-01,108.98,2.86,12.09,3.1,Azuay
2020-07-02,111.58,3.86,12.06,1.19,Azuay
2020-07-03,95.27,3.17,11.97,1.89,Azuay
2020-07-04,114.27,2.75,11.8,2.86,Azuay
2020-07-05,122.98,3.17,12.64,0.39,Azuay
2020-07-06,121.14,3.11,11.94,2.54,Azuay
2020-07-07,110.62,2.48,11.71,0.08,Azuay
2020-07-08,142.22,2.56,12.92,1.21,Azuay
2020-07-09,141.66,3.99,12.02,9.87,Azuay
2020-07-10,97.73,3.68,11.11,21.12,Azuay
2020-07-11,119.11,2.53,11.98,0.26,Azuay
2020-07-12,164.26,3.17,12.48,2.77,Azuay
2020-07-13,110.15,4.2,12.0,1.77,Azuay
2020-07-14,155.27,4.33,11.36,5.52,Azuay
2020-07-15,112.27,4.89,10.48,4.4,Azuay
2020-07-16,136.54,4.11,10.59,0.05,Azuay
2020-07-17,128.92,4.08,11.4,0.03,Azuay
2020-07-18,177.53,4.2,11.44,3.91,Azuay
2020-07-19,161.21,3.9,10.93,1.63,Azuay
2020-07-20,147.42,4.08,11.62,1.24,Azuay
2020-07-21,156.7,3.23,12.11,1.6,Azuay
2020-07-22,148.65,2.69,12.88,0.32,Azuay
2020-07-23,166.8,2.64,12.97,0.06,Azuay
2020-07-24,168.75,2.2,12.9,0.73,Azuay
2020-07-25,144.18,4.08,12.16,0.68,Azuay
2020-07-26,116.03,4.71,10.88,1.72,Azuay
2020-07-27,110.21,3.34,11.63,0.5,Azuay
2020-07-28,117.82,3.21,12.12,0.05,Azuay
2020-07-29,152.5,3.97,11.64,1.0,Azuay
2020-07-30,105.26,5.01,11.71,0.8,Azuay
2020-07-31,115.49,5.16,12.36,1.46,Azuay
2020-08-01,215.02,4.54,12.51,0.33,Azuay
2020-08-02,227.32,4.07,12.12,0.0,Azuay
2020-08-03,169.38,4.71,12.36,0.01,Azuay
2020-08-04,209.98,4.4,11.16,0.0,Azuay
2020-08-05,172.64,4.62,11.16,0.09,Azuay
2020-08-06,199.44,4.91,11.73,0.31,Azuay
2020-08-07,184.8,4.96,10.48,0.25,Azuay
2020-08-08,166.13,4.78,10.1,0.02,Azuay
2020-08-09,184.39,4.67,10.95,0.0,Azuay
2020-08-10,190.91,3.66,12.33,0.0,Azuay
2020-08-11,168.45,2.71,13.19,0.01,Azuay
2020-08-12,145.89,3.23,13.94,0.01,Azuay
2020-08-13,197.8,3.36,14.08,0.92,Azuay
2020-08-14,193.55,3.25,13.9,0.39,Azuay
2020-08-15,159.44,3.58,13.77,0.19,Azuay
2020-08-16,143.74,3.36,13.73,0.03,Azuay
2020-08-17,197.67,2.22,14.88,0.0,Azuay
2020-08-18,209.35,1.64,14.79,0.3,Azuay
2020-08-19,205.67,1.56,14.74,0.33,Azuay
2020-08-20,205.07,2.88,13.99,2.2,Azuay
2020-08-21,112.9,3.37,12.2,3.96,Azuay
2020-08-22,96.2,3.59,11.34,0.37,Azuay
2020-08-23,144.47,3.63,12.17,0.06,Azuay
2020-08-24,160.02,2.76,12.46,0.0,Azuay
2020-08-25,225.43,3.04,13.17,0.0,Azuay
2020-08-26,204.01,3.31,13.2,0.0,Azuay
2020-08-27,163.32,3.12,12.67,0.07,Azuay
2020-08-28,187.5,2.83,13.51,0.02,Azuay
2020-08-29,183.82,2.16,14.25,0.08,Azuay
2020-08-30,145.02,2.86,14.07,2.27,Azuay
2020-08-31,142.8,3.77,11.82,0.61,Azuay
2020-09-01,108.76,4.6,11.94,0.27,Azuay
2020-09-02,159.93,4.15,12.5,0.02,Azuay
2020-09-03,155.37,4.1,13.15,0.75,Azuay
2020-09-04,139.62,4.77,13.09,1.02,Azuay
2020-09-05,189.1,4.76,12.97,3.69,Azuay
2020-09-06,150.43,4.11,13.63,0.24,Azuay
2020-09-07,151.27,3.41,14.34,0.03,Azuay
2020-09-08,204.78,3.83,14.24,1.46,Azuay
2020-09-09,162.46,3.84,12.27,1.14,Azuay
2020-09-10,158.57,4.31,12.19,0.0,Azuay
2020-09-11,165.51,4.22,13.21,0.12,Azuay
2020-09-12,208.77,4.1,13.36,0.0,Azuay
2020-09-13,169.64,4.88,12.56,1.66,Azuay
2020-09-14,120.45,4.6,12.89,0.4,Azuay
2020-09-15,173.39,3.94,12.77,0.44,Azuay
2020-09-16,163.27,2.38,13.96,1.62,Azuay
2020-09-17,181.24,2.72,14.66,0.52,Azuay
2020-09-18,176.28,2.81,14.49,0.97,Azuay
2020-09-19,170.43,3.42,14.26,1.02,Azuay
2020-09-20,208.23,3.54,13.22,1.37,Azuay
2020-09-21,226.59,4.09,13.81,0.63,Azuay
2020-09-22,210.85,3.6,14.16,2.22,Azuay
2020-09-23,145.36,5.1,13.0,4.16,Azuay
2020-09-24,176.65,5.95,12.03,7.65,Azuay
2020-09-25,210.51,4.36,12.31,1.17,Azuay
2020-09-26,200.35,3.44,13.32,0.06,Azuay
2020-09-27,189.01,2.38,14.5,3.09,Azuay
2020-09-28,218.64,3.19,14.33,2.06,Azuay
2020-09-29,186.42,3.52,13.34,1.53,Azuay
2020-09-30,167.33,4.37,13.25,0.69,Azuay
2020-10-01,166.74,5.06,13.47,0.02,Azuay
2020-10-02,176.09,3.55,13.59,0.05,Azuay
2020-10-03,162.53,4.03,12.34,2.42,Azuay
2020-10-04,119.41,4.83,12.43,0.46,Azuay
2020-10-05,115.41,4.97,12.09,0.01,Azuay
2020-10-06,206.18,4.0,12.37,2.87,Azuay
2020-10-07,256.2,4.21,12.4,2.55,Azuay
2020-10-08,147.55,4.24,11.85,0.34,Azuay
2020-10-09,198.01,4.97,13.53,0.06,Azuay
2020-10-10,149.71,4.74,13.29,0.0,Azuay
2020-10-11,240.53,4.33,13.49,1.41,Azuay
2020-10-12,206.78,4.76,13.35,4.37,Azuay
2020-10-13,211.23,4.36,13.69,1.04,Azuay
2020-10-14,155.16,3.61,13.43,0.51,Azuay
2020-10-15,150.13,4.13,13.47,0.17,Azuay
2020-10-16,137.9,5.3,13.26,0.16,Azuay
2020-10-17,154.23,5.04,13.38,0.0,Azuay
2020-10-18,182.93,3.4,13.83,0.0,Azuay
2020-10-19,229.45,2.74,14.79,0.0,Azuay
2020-10-20,181.89,4.13,15.31,0.0,Azuay
2020-10-21,187.21,5.21,13.92,0.93,Azuay
2020-10-22,205.26,5.78,13.68,0.75,Azuay
2020-10-23,149.49,4.21,13.59,0.01,Azuay
2020-10-24,192.39,2.53,14.79,0.4,Azuay
2020-10-25,201.74,2.25,14.7,4.18,Azuay
2020-10-26,159.91,2.25,14.95,0.76,Azuay
2020-10-27,129.25,1.52,15.13,0.39,Azuay
2020-10-28,190.9,1.79,14.72,4.24,Azuay
2020-10-29,234.07,1.97,15.6,0.36,Azuay
2020-10-30,170.12,1.61,14.97,0.03,Azuay
2020-10-31,158.02,2.12,15.21,0.0,Azuay
2020-11-01,207.47,1.59,16.01,0.0,Azuay
2020-11-02,218.32,1.45,15.77,0.0,Azuay
2020-11-03,207.69,1.53,15.38,0.0,Azuay
2020-11-04,236.04,2.08,15.61,0.0,Azuay
2020-11-05,174.49,2.7,15.71,0.0,Azuay
2020-11-06,166.58,2.39,14.35,0.48,Azuay
2020-11-07,158.42,3.68,13.75,0.1,Azuay
2020-11-08,203.91,4.47,13.59,0.02,Azuay
2020-11-09,141.69,3.15,14.04,0.01,Azuay
2020-11-10,209.58,2.22,15.49,13.13,Azuay
2020-11-11,186.85,1.87,14.3,1.12,Azuay
2020-11-12,178.04,1.87,14.25,0.0,Azuay
2020-11-13,191.25,1.96,15.31,0.0,Azuay
2020-11-14,191.9,1.15,14.07,0.07,Azuay
2020-11-15,156.08,1.96,14.01,0.15,Azuay
2020-11-16,209.97,1.79,13.92,0.34,Azuay
2020-11-17,174.61,1.73,15.11,1.36,Azuay
2020-11-18,172.02,2.02,15.14,2.0,Azuay
2020-11-19,128.0,2.31,14.02,5.73,Azuay
2020-11-20,213.77,1.68,13.75,0.48,Azuay
2020-11-21,200.99,1.66,15.15,0.0,Azuay
2020-11-22,172.76,3.48,15.17,7.46,Azuay
2020-11-23,141.52,3.8,13.53,2.88,Azuay
2020-11-24,173.05,4.56,13.97,1.1,Azuay
2020-11-25,218.25,2.76,14.2,0.26,Azuay
2020-11-26,222.42,3.02,15.11,0.08,Azuay
2020-11-27,143.33,2.21,13.68,0.3,Azuay
2020-11-28,180.15,2.61,13.29,0.13,Azuay
2020-11-29,136.11,3.57,14.07,0.27,Azuay
2020-11-30,158.83,3.37,14.12,1.2,Azuay
2020-12-01,194.08,2.6,14.36,5.36,Azuay
2020-12-02,149.1,2.1,14.11,4.47,Azuay
2020-12-03,135.18,2.34,14.6,4.21,Azuay
2020-12-04,144.54,3.41,14.42,1.2,Azuay
2020-12-05,111.26,3.76,13.9,0.53,Azuay
2020-12-06,159.57,3.93,13.58,1.57,Azuay
2020-12-07,140.01,3.73,13.73,2.1,Azuay
2020-12-08,148.46,3.04,13.95,1.76,Azuay
2020-12-09,209.61,2.4,14.73,5.5,Azuay
2020-12-10,134.88,1.98,15.04,3.92,Azuay
2020-12-11,120.44,2.52,14.6,2.05,Azuay
2020-12-12,165.26,3.18,14.74,0.48,Azuay
2020-12-13,177.6,3.37,13.45,1.58,Azuay
2020-12-14,134.57,3.18,14.11,0.14,Azuay
2020-12-15,135.25,2.89,14.82,3.54,Azuay
2020-12-16,148.06,3.3,14.48,2.03,Azuay
2020-12-17,123.37,3.98,13.59,5.58,Azuay
2020-12-18,170.26,2.6,13.52,1.27,Azuay
2020-12-19,169.56,2.24,14.67,0.05,Azuay
2020-12-20,180.78,2.43,15.04,0.7,Azuay
2020-12-21,165.33,3.29,14.8,0.1,Azuay
2020-12-22,147.8,3.56,14.44,0.26,Azuay
2020-12-23,179.99,2.74,15.04,0.74,Azuay
2020-12-24,117.83,2.03,14.75,0.38,Azuay
2020-12-25,150.28,1.37,14.74,0.94,Azuay
2020-12-26,120.72,2.1,14.66,4.37,Azuay
2020-12-27,186.46,1.54,14.01,0.88,Azuay
2020-12-28,187.62,1.15,13.82,1.14,Azuay
2020-12-29,209.56,2.03,14.29,2.81,Azuay
2020-12-30,159.69,1.57,14.32,20.35,Azuay
2020-12-31,154.15,1.99,13.9,9.26,Azuay
2020-01-01,146.78,2.16,12.05,6.11,Bolívar
2020-01-02,166.45,1.65,10.09,2.69,Bolívar
2020-01-03,151.77,1.5,11.59,3.69,Bolívar
2020-01-04,189.07,2.28,12.34,0.81,Bolívar
2020-01-05,155.67,2.69,12.16,1.21,Bolívar
2020-01-06,182.64,3.13,11.77,0.45,Bolívar
2020-01-07,105.32,1.25,11.81,0.0,Bolívar
2020-01-08,172.48,2.21,11.09,0.07,Bolívar
2020-01-09,217.93,4.16,10.41,0.24,Bolívar
2020-01-10,198.68,4.05,11.79,2.17,Bolívar
2020-01-11,163.75,3.86,11.83,3.02,Bolívar
2020-01-12,176.19,4.41,11.78,2.06,Bolívar
2020-01-13,168.03,4.15,12.2,0.78,Bolívar
2020-01-14,154.54,3.72,12.14,1.99,Bolívar
2020-01-15,131.65,3.15,12.36,1.7,Bolívar
2020-01-16,149.4,4.73,12.29,4.14,Bolívar
2020-01-17,159.23,6.19,12.75,3.28,Bolívar
2020-01-18,144.93,5.87,12.14,0.95,Bolívar
2020-01-19,158.31,4.68,11.75,11.44,Bolívar
2020-01-20,191.01,2.47,12.15,12.71,Bolívar
2020-01-21,144.09,2.48,12.71,8.6,Bolívar
2020-01-22,192.89,4.0,13.07,2.58,Bolívar
2020-01-23,139.32,2.95,11.84,1.84,Bolívar
2020-01-24,169.13,1.58,10.69,5.09,Bolívar
2020-01-25,151.45,1.4,11.78,6.2,Bolívar
2020-01-26,182.79,1.11,11.73,5.57,Bolívar
2020-01-27,194.5,1.46,12.92,0.49,Bolívar
2020-01-28,146.89,1.34,12.73,6.06,Bolívar
2020-01-29,170.78,1.24,11.48,12.2,Bolívar
2020-01-30,152.77,2.07,11.89,2.18,Bolívar
2020-01-31,197.93,3.35,12.18,3.94,Bolívar
2020-02-01,149.68,3.6,11.42,16.06,Bolívar
2020-02-02,191.18,3.07,11.4,7.87,Bolívar
2020-02-03,210.13,2.83,11.63,4.45,Bolívar
2020-02-04,198.9,2.24,11.68,0.78,Bolívar
2020-02-05,179.28,1.71,12.66,0.01,Bolívar
2020-02-06,199.43,1.43,12.48,0.08,Bolívar
2020-02-07,163.81,1.51,12.17,2.23,Bolívar
2020-02-08,172.77,1.67,13.22,7.88,Bolívar
2020-02-09,202.36,1.13,13.28,8.95,Bolívar
2020-02-10,145.98,2.93,12.76,2.81,Bolívar
2020-02-11,179.97,3.49,11.46,0.11,Bolívar
2020-02-12,158.32,3.34,11.89,7.05,Bolívar
2020-02-13,163.24,2.03,12.68,5.11,Bolívar
2020-02-14,150.58,2.55,12.84,2.63,Bolívar
2020-02-15,108.67,2.96,12.35,4.29,Bolívar
2020-02-16,152.75,3.02,12.38,4.51,Bolívar
2020-02-17,159.45,3.86,12.77,2.25,Bolívar
2020-02-18,167.55,4.62,12.76,1.57,Bolívar
2020-02-19,187.7,3.23,12.99,3.14,Bolívar
2020-02-20,127.25,1.75,11.9,0.67,Bolívar
2020-02-21,149.27,2.06,12.44,2.13,Bolívar
2020-02-22,192.82,1.03,11.25,2.43,Bolívar
2020-02-23,181.85,2.07,11.91,2.33,Bolívar
2020-02-24,97.57,2.42,12.29,2.71,Bolívar
2020-02-25,194.65,1.22,13.07,1.34,Bolívar
2020-02-26,191.65,0.84,12.74,6.01,Bolívar
2020-02-27,207.86,1.05,12.44,5.9,Bolívar
2020-02-28,199.49,1.44,12.32,1.69,Bolívar
2020-02-29,110.45,1.1,12.23,0.24,Bolívar
2020-03-01,160.31,1.71,12.41,2.96,Bolívar
2020-03-02,149.09,1.53,12.56,2.75,Bolívar
2020-03-03,163.61,2.25,12.99,4.09,Bolívar
2020-03-04,180.96,3.07,12.77,5.23,Bolívar
2020-03-05,153.83,3.7,12.87,9.18,Bolívar
2020-03-06,138.91,1.94,12.86,3.84,Bolívar
2020-03-07,179.68,1.53,12.97,12.39,Bolívar
2020-03-08,176.36,2.15,13.09,1.57,Bolívar
2020-03-09,143.6,2.51,12.99,4.03,Bolívar
2020-03-10,142.65,2.15,12.39,1.96,Bolívar
2020-03-11,153.29,1.41,12.17,4.42,Bolívar
2020-03-12,191.1,1.15,12.22,2.99,Bolívar
2020-03-13,202.55,1.15,12.46,8.03,Bolívar
2020-03-14,152.13,1.28,12.52,2.95,Bolívar
2020-03-15,209.09,1.5,12.83,5.36,Bolívar
2020-03-16,180.37,1.73,12.81,2.92,Bolívar
2020-03-17,225.3,1.36,11.02,0.41,Bolívar
2020-03-18,225.3,1.13,12.48,0.05,Bolívar
2020-03-19,180.31,2.8,10.26,0.56,Bolívar
2020-03-20,214.04,4.3,11.75,1.11,Bolívar
2020-03-21,275.52,3.71,11.93,0.53,Bolívar
2020-03-22,231.42,2.03,12.04,0.0,Bolívar
2020-03-23,214.29,1.46,11.88,0.01,Bolívar
2020-03-24,232.98,1.91,11.42,0.0,Bolívar
2020-03-25,127.24,0.79,12.67,0.0,Bolívar
2020-03-26,144.4,1.25,12.76,0.0,Bolívar
2020-03-27,106.22,1.17,13.02,0.18,Bolívar
2020-03-28,163.67,1.63,12.79,0.04,Bolívar
2020-03-29,128.28,2.16,12.32,0.46,Bolívar
2020-03-30,124.43,3.27,11.77,1.77,Bolívar
2020-03-31,185.9,1.65,11.61,1.04,Bolívar
2020-04-01,172.08,1.29,12.21,33.92,Bolívar
2020-04-02,206.38,3.25,12.01,25.93,Bolívar
2020-04-03,195.6,4.38,11.98,5.35,Bolívar
2020-04-04,177.15,2.38,12.57,8.41,Bolívar
2020-04-05,210.23,2.28,12.58,8.06,Bolívar
2020-04-06,192.36,4.53,12.46,4.47,Bolívar
2020-04-07,195.83,4.56,12.3,9.05,Bolívar
2020-04-08,164.61,4.05,11.47,4.28,Bolívar
2020-04-09,188.21,2.76,12.07,1.96,Bolívar
2020-04-10,209.01,2.05,12.61,4.51,Bolívar
2020-04-11,149.99,1.1,12.54,8.81,Bolívar
2020-04-12,189.18,0.72,12.17,8.25,Bolívar
2020-04-13,181.3,2.35,12.58,1.75,Bolívar
2020-04-14,147.4,2.42,11.9,0.08,Bolívar
2020-04-15,164.17,2.31,11.59,2.65,Bolívar
2020-04-16,210.05,1.34,11.16,1.63,Bolívar
2020-04-17,178.65,2.09,11.0,9.03,Bolívar
2020-04-18,170.44,1.83,11.49,8.4,Bolívar
2020-04-19,206.55,1.75,11.79,1.48,Bolívar
2020-04-20,202.94,2.39,11.48,0.17,Bolívar
2020-04-21,167.13,2.41,11.27,0.16,Bolívar
2020-04-22,173.52,1.66,11.86,4.9,Bolívar
2020-04-23,170.43,1.41,11.97,4.29,Bolívar
2020-04-24,182.96,1.42,12.48,2.94,Bolívar
2020-04-25,163.39,1.44,12.56,3.88,Bolívar
2020-04-26,205.41,2.46,12.01,9.1,Bolívar
2020-04-27,183.35,3.32,11.61,2.99,Bolívar
2020-04-28,181.44,3.28,11.74,1.07,Bolívar
2020-04-29,142.37,2.88,12.13,5.01,Bolívar
2020-04-30,203.16,2.83,11.83,5.4,Bolívar
2020-05-01,169.59,4.27,11.72,13.77,Bolívar
2020-05-02,149.84,4.14,11.55,11.66,Bolívar
2020-05-03,170.96,2.71,11.73,9.63,Bolívar
2020-05-04,171.82,2.04,11.84,13.99,Bolívar
2020-05-05,124.67,1.92,12.25,2.85,Bolívar
2020-05-06,140.72,2.71,12.25,8.05,Bolívar
