time,tavg,tmin,tdew,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,relative_humidity,provincia,latitude,longitude
2015-03-02,25.66,21.17,,,1.37,,,2.03,,,,78.38,Esmeraldas,0.6955,-79.224
2015-03-03,25.31,21.93,,,3.43,,,2.09,,,,83.15,Esmeraldas,0.6955,-79.224
2015-03-04,25.05,22.0,,,1.64,,,2.09,,,,84.47,Esmeraldas,0.6955,-79.224
2015-03-05,25.54,22.12,,,3.66,,,1.6,,,,82.72,Esmeraldas,0.6955,-79.224
2015-03-06,25.6,21.79,,,1.88,,,1.59,,,,81.12,Esmeraldas,0.6955,-79.224
2015-03-07,25.57,21.82,,,0.32,,,1.83,,,,81.45,Esmeraldas,0.6955,-79.224
2015-03-08,26.06,22.31,,,0.34,,,1.87,,,,81.54,Esmeraldas,0.6955,-79.224
2015-03-09,25.45,22.33,,,0.7,,,2.26,,,,84.01,Esmeraldas,0.6955,-79.224
2015-03-10,25.39,21.74,,,0.59,,,2.05,,,,81.81,Esmeraldas,0.6955,-79.224
2015-03-11,26.08,21.86,,,1.26,,,1.82,,,,79.59,Esmeraldas,0.6955,-79.224
2015-03-12,25.44,22.02,,,1.52,,,1.7,,,,82.87,Esmeraldas,0.6955,-79.224
2015-03-13,25.23,21.89,,,2.69,,,1.28,,,,83.02,Esmeraldas,0.6955,-79.224
2015-03-14,25.88,21.92,,,2.5,,,1.65,,,,80.51,Esmeraldas,0.6955,-79.224
2015-03-15,25.56,21.89,,,5.41,,,1.57,,,,81.96,Esmeraldas,0.6955,-79.224
2015-03-16,25.26,22.28,,,10.91,,,1.67,,,,84.82,Esmeraldas,0.6955,-79.224
2015-03-17,25.43,21.87,,,7.56,,,1.31,,,,82.36,Esmeraldas,0.6955,-79.224
2015-03-18,24.24,22.08,,,15.87,,,0.64,,,,88.15,Esmeraldas,0.6955,-79.224
2015-03-19,24.75,21.95,,,20.73,,,1.36,,,,85.46,Esmeraldas,0.6955,-79.224
2015-03-20,25.25,22.42,,,13.79,,,1.33,,,,85.37,Esmeraldas,0.6955,-79.224
2015-03-21,25.36,22.34,,,5.11,,,1.13,,,,84.56,Esmeraldas,0.6955,-79.224
2015-03-22,24.89,22.2,,,1.86,,,1.04,,,,86.1,Esmeraldas,0.6955,-79.224
2015-03-23,25.33,22.3,,,2.29,,,1.6,,,,84.73,Esmeraldas,0.6955,-79.224
2015-03-24,25.55,22.19,,,2.25,,,1.49,,,,83.05,Esmeraldas,0.6955,-79.224
