,ALLSKY_SFC_SW_DWN,WS10M,T2M,PRECTOTCORR,provincia,altitud
2019-01-01,160.59,4.9,12.55,0.14,Azuay,2560
2019-01-02,185.62,5.19,14.09,0.06,Azuay,2560
2019-01-03,148.69,4.35,14.21,0.45,Azuay,2560
2019-01-04,181.2,4.27,13.64,0.92,Azuay,2560
2019-01-05,155.28,3.84,13.63,0.52,Azuay,2560
2019-01-06,99.45,2.38,13.99,5.68,Azuay,2560
2019-01-07,144.54,1.19,14.66,7.64,Azuay,2560
2019-01-08,137.18,1.27,12.86,13.29,Azuay,2560
2019-01-09,200.81,1.25,14.4,1.43,Azuay,2560
2019-01-10,127.49,1.06,13.76,2.4,Azuay,2560
2019-01-11,186.29,1.05,13.22,2.76,Azuay,2560
2019-01-12,148.79,2.49,13.2,8.6,Azuay,2560
2019-01-13,180.74,2.17,13.34,6.93,Azuay,2560
2019-01-14,116.8,3.41,14.23,2.24,Azuay,2560
2019-01-15,136.97,3.35,13.56,2.54,Azuay,2560
2019-01-16,147.52,3.21,12.82,1.49,Azuay,2560
2019-01-17,146.6,4.0,12.84,1.95,Azuay,2560
2019-01-18,151.94,4.2,12.86,2.13,Azuay,2560
2019-01-19,178.11,4.52,12.64,2.43,Azuay,2560
2019-01-20,156.06,3.64,12.63,1.23,Azuay,2560
2019-01-21,194.27,3.49,13.34,0.59,Azuay,2560
2019-01-22,159.8,3.68,13.14,0.89,Azuay,2560
2019-01-23,161.3,4.67,13.1,0.3,Azuay,2560
2019-01-24,143.34,3.91,13.39,0.69,Azuay,2560
2019-01-25,172.73,3.7,13.77,1.0,Azuay,2560
2019-01-26,150.78,3.5,14.48,0.22,Azuay,2560
2019-01-27,151.35,2.41,14.37,5.18,Azuay,2560
2019-01-28,135.18,1.85,14.23,12.46,Azuay,2560
2019-01-29,181.65,3.11,14.29,23.77,Azuay,2560
2019-01-30,165.71,2.72,14.23,9.85,Azuay,2560
2019-01-31,98.8,2.9,13.28,0.79,Azuay,2560
2019-02-01,175.43,2.68,13.41,0.99,Azuay,2560
2019-02-02,170.09,3.39,14.37,2.22,Azuay,2560
2019-02-03,136.88,4.1,13.78,2.73,Azuay,2560
2019-02-04,130.05,4.31,13.79,6.22,Azuay,2560
2019-02-05,176.39,4.54,13.84,8.07,Azuay,2560
2019-02-06,134.81,3.69,13.46,6.94,Azuay,2560
2019-02-07,141.51,2.31,13.58,3.6,Azuay,2560
2019-02-08,128.38,2.71,14.22,3.15,Azuay,2560
2019-02-09,148.35,2.52,14.34,2.25,Azuay,2560
2019-02-10,138.51,3.11,14.67,4.86,Azuay,2560
2019-02-11,141.94,3.44,14.39,0.97,Azuay,2560
2019-02-12,167.75,3.53,14.98,4.95,Azuay,2560
2019-02-13,153.51,4.08,14.26,1.52,Azuay,2560
2019-02-14,121.81,3.49,14.37,1.58,Azuay,2560
2019-02-15,176.22,3.13,14.09,1.28,Azuay,2560
2019-02-16,167.01,2.8,14.26,0.79,Azuay,2560
2019-02-17,143.7,2.08,14.81,2.43,Azuay,2560
2019-02-18,162.44,2.11,15.07,4.4,Azuay,2560
2019-02-19,150.42,2.22,14.55,5.24,Azuay,2560
2019-02-20,186.46,2.69,13.84,2.11,Azuay,2560
2019-02-21,190.39,4.04,14.1,1.65,Azuay,2560
2019-02-22,174.41,4.02,14.13,1.43,Azuay,2560
2019-02-23,113.6,2.01,14.47,1.68,Azuay,2560
2019-02-24,161.93,1.11,14.18,5.71,Azuay,2560
2019-02-25,202.05,1.55,14.59,3.61,Azuay,2560
2019-02-26,182.74,1.54,14.17,4.53,Azuay,2560
2019-02-27,176.36,1.91,14.15,1.9,Azuay,2560
2019-02-28,166.74,2.31,14.0,1.65,Azuay,2560
2019-03-01,176.88,2.98,14.18,1.08,Azuay,2560
2019-03-02,189.6,1.98,13.88,12.13,Azuay,2560
2019-03-03,164.99,1.72,13.87,2.45,Azuay,2560
2019-03-04,169.72,2.38,13.65,1.23,Azuay,2560
2019-03-05,126.12,2.54,14.3,0.95,Azuay,2560
2019-03-06,141.84,2.74,13.58,0.09,Azuay,2560
2019-03-07,128.71,2.79,13.34,0.3,Azuay,2560
2019-03-08,174.19,3.8,13.48,0.07,Azuay,2560
2019-03-09,149.0,4.65,13.6,0.5,Azuay,2560
2019-03-10,137.11,5.36,13.33,2.93,Azuay,2560
2019-03-11,186.88,3.51,13.61,0.11,Azuay,2560
2019-03-12,180.31,2.74,14.52,1.45,Azuay,2560
2019-03-13,163.56,3.23,14.72,3.64,Azuay,2560
2019-03-14,169.17,3.52,14.44,2.56,Azuay,2560
2019-03-15,162.79,3.58,14.39,0.46,Azuay,2560
2019-03-16,178.51,3.59,13.97,1.17,Azuay,2560
2019-03-17,159.33,3.5,14.27,1.27,Azuay,2560
2019-03-18,177.28,2.86,14.11,8.04,Azuay,2560
2019-03-19,174.96,2.62,14.62,5.74,Azuay,2560
2019-03-20,175.69,2.39,13.79,1.77,Azuay,2560
2019-03-21,191.01,1.64,13.29,9.51,Azuay,2560
2019-03-22,192.22,1.46,13.44,11.08,Azuay,2560
2019-03-23,135.13,2.39,13.35,7.31,Azuay,2560
2019-03-24,140.39,2.63,13.89,8.32,Azuay,2560
2019-03-25,123.52,2.4,14.52,0.41,Azuay,2560
2019-03-26,149.21,3.46,14.52,0.0,Azuay,2560
2019-03-27,154.01,3.46,13.51,0.49,Azuay,2560
2019-03-28,138.41,3.09,13.5,0.39,Azuay,2560
2019-03-29,110.11,3.66,13.81,4.17,Azuay,2560
2019-03-30,181.1,3.52,13.01,8.56,Azuay,2560
2019-03-31,216.88,2.73,13.23,1.03,Azuay,2560
2019-04-01,94.97,2.03,13.96,14.17,Azuay,2560
2019-04-02,188.5,1.79,14.76,11.96,Azuay,2560
2019-04-03,187.12,1.62,13.95,8.76,Azuay,2560
2019-04-04,174.67,1.24,15.16,1.96,Azuay,2560
2019-04-05,132.21,2.07,15.57,0.85,Azuay,2560
2019-04-06,193.1,2.39,14.7,4.03,Azuay,2560
2019-04-07,185.72,3.93,13.63,1.41,Azuay,2560
2019-04-08,159.93,4.03,13.33,2.29,Azuay,2560
2019-04-09,197.21,2.51,14.24,0.11,Azuay,2560
2019-04-10,237.48,1.94,15.39,0.0,Azuay,2560
2019-04-11,238.51,3.08,15.16,0.0,Azuay,2560
2019-04-12,159.74,3.33,14.23,1.98,Azuay,2560
2019-04-13,157.34,3.4,14.2,1.72,Azuay,2560
2019-04-14,199.7,2.86,14.39,0.01,Azuay,2560
2019-04-15,192.07,2.93,14.0,1.66,Azuay,2560
2019-04-16,173.11,3.02,13.56,0.05,Azuay,2560
2019-04-17,138.98,2.84,13.58,4.24,Azuay,2560
2019-04-18,146.13,2.27,13.18,5.92,Azuay,2560
2019-04-19,159.81,2.33,13.95,4.18,Azuay,2560
2019-04-20,182.78,2.39,13.8,3.58,Azuay,2560
2019-04-21,180.25,2.07,13.71,5.64,Azuay,2560
2019-04-22,147.87,1.54,14.02,6.87,Azuay,2560
2019-04-23,167.33,1.46,14.71,4.33,Azuay,2560
2019-04-24,172.57,3.4,13.69,1.71,Azuay,2560
2019-04-25,141.22,4.07,13.46,0.22,Azuay,2560
2019-04-26,222.38,3.76,13.67,0.5,Azuay,2560
2019-04-27,112.63,3.51,13.65,1.51,Azuay,2560
2019-04-28,123.41,3.84,13.19,0.89,Azuay,2560
2019-04-29,158.96,4.29,13.22,4.44,Azuay,2560
2019-04-30,173.98,3.36,13.34,0.52,Azuay,2560
2019-05-01,182.27,3.29,13.23,1.41,Azuay,2560
2019-05-02,135.08,3.72,12.82,2.24,Azuay,2560
2019-05-03,146.01,3.16,13.52,4.73,Azuay,2560
2019-05-04,177.67,3.54,13.29,1.9,Azuay,2560
2019-05-05,187.89,4.67,12.65,3.68,Azuay,2560
2019-05-06,155.39,4.45,12.57,2.79,Azuay,2560
2019-05-07,159.03,3.93,12.68,1.29,Azuay,2560
2019-05-08,178.87,2.7,12.82,1.05,Azuay,2560
2019-05-09,138.33,2.47,13.12,2.3,Azuay,2560
2019-05-10,180.82,2.4,13.24,1.93,Azuay,2560
2019-05-11,176.38,2.34,14.35,2.99,Azuay,2560
2019-05-12,109.92,3.05,13.96,9.61,Azuay,2560
2019-05-13,138.1,3.82,13.03,6.04,Azuay,2560
2019-05-14,148.42,4.5,12.47,9.28,Azuay,2560
2019-05-15,131.24,3.97,11.96,7.05,Azuay,2560
2019-05-16,182.44,3.65,12.87,0.25,Azuay,2560
2019-05-17,165.31,2.41,13.33,0.9,Azuay,2560
2019-05-18,173.79,1.84,13.63,1.36,Azuay,2560
2019-05-19,152.17,1.83,14.19,3.23,Azuay,2560
2019-05-20,136.25,2.25,13.43,13.92,Azuay,2560
2019-05-21,151.03,2.94,13.14,1.7,Azuay,2560
2019-05-22,127.47,2.96,12.99,0.01,Azuay,2560
2019-05-23,158.26,2.37,13.06,2.03,Azuay,2560
2019-05-24,133.11,2.98,13.5,1.1,Azuay,2560
2019-05-25,140.5,3.14,13.21,5.16,Azuay,2560
2019-05-26,149.93,2.35,12.52,3.03,Azuay,2560
2019-05-27,123.89,1.79,14.33,0.0,Azuay,2560
2019-05-28,168.54,2.48,13.83,5.87,Azuay,2560
2019-05-29,131.6,2.97,12.59,4.55,Azuay,2560
2019-05-30,86.72,2.04,12.5,0.77,Azuay,2560
2019-05-31,149.65,2.21,13.82,1.2,Azuay,2560
2019-06-01,176.5,2.12,14.03,3.43,Azuay,2560
2019-06-02,176.55,2.98,13.25,2.31,Azuay,2560
2019-06-03,109.35,4.46,12.3,1.91,Azuay,2560
2019-06-04,118.29,5.27,11.5,6.45,Azuay,2560
2019-06-05,161.1,5.0,11.37,12.85,Azuay,2560
2019-06-06,165.23,3.03,11.07,0.07,Azuay,2560
2019-06-07,111.13,2.38,10.83,0.04,Azuay,2560
2019-06-08,133.8,3.5,11.53,1.34,Azuay,2560
2019-06-09,156.31,4.03,11.62,2.23,Azuay,2560
2019-06-10,154.53,3.18,11.34,1.75,Azuay,2560
2019-06-11,87.95,3.26,11.05,2.82,Azuay,2560
2019-06-12,131.16,3.33,12.13,0.49,Azuay,2560
2019-06-13,110.86,3.74,12.31,1.87,Azuay,2560
2019-06-14,89.68,2.78,11.6,0.66,Azuay,2560
2019-06-15,150.54,3.05,12.44,1.46,Azuay,2560
2019-06-16,151.01,4.26,12.08,2.79,Azuay,2560
2019-06-17,108.37,6.01,11.31,13.55,Azuay,2560
2019-06-18,141.07,5.18,11.51,3.93,Azuay,2560
2019-06-19,132.89,4.51,11.46,2.77,Azuay,2560
2019-06-20,181.52,7.75,12.05,5.25,Azuay,2560
2019-06-21,118.72,6.66,10.21,2.64,Azuay,2560
2019-06-22,118.1,5.94,10.41,0.79,Azuay,2560
2019-06-23,115.16,5.33,10.72,0.76,Azuay,2560
2019-06-24,133.63,3.99,11.62,0.06,Azuay,2560
2019-06-25,133.46,2.44,12.84,0.0,Azuay,2560
2019-06-26,144.51,3.13,13.02,0.71,Azuay,2560
2019-06-27,146.86,4.21,13.13,0.66,Azuay,2560
2019-06-28,182.87,4.43,11.7,0.84,Azuay,2560
2019-06-29,97.95,5.11,12.52,1.98,Azuay,2560
2019-06-30,140.09,3.6,11.87,6.48,Azuay,2560
2019-07-01,187.3,3.49,11.71,1.4,Azuay,2560
2019-07-02,113.42,2.8,12.29,0.1,Azuay,2560
2019-07-03,150.15,2.34,13.4,0.08,Azuay,2560
2019-07-04,110.97,3.28,13.35,0.32,Azuay,2560
2019-07-05,109.25,4.12,12.03,1.31,Azuay,2560
2019-07-06,109.78,5.21,11.22,2.65,Azuay,2560
2019-07-07,146.61,5.74,11.31,1.14,Azuay,2560
2019-07-08,137.28,4.86,10.92,2.37,Azuay,2560
2019-07-09,141.37,4.17,10.54,1.52,Azuay,2560
2019-07-10,142.29,4.12,10.95,0.11,Azuay,2560
2019-07-11,157.17,3.05,11.22,0.0,Azuay,2560
2019-07-12,152.22,3.26,11.57,1.08,Azuay,2560
2019-07-13,99.84,3.74,11.47,6.81,Azuay,2560
2019-07-14,137.43,3.88,11.29,4.38,Azuay,2560
2019-07-15,205.12,3.49,11.33,0.07,Azuay,2560
2019-07-16,139.65,3.91,11.1,3.44,Azuay,2560
2019-07-17,121.77,4.07,10.9,3.0,Azuay,2560
2019-07-18,174.85,4.62,11.6,1.27,Azuay,2560
2019-07-19,147.91,5.16,11.6,0.32,Azuay,2560
2019-07-20,182.6,4.69,11.09,5.45,Azuay,2560
2019-07-21,175.0,4.06,11.25,5.7,Azuay,2560
2019-07-22,150.61,3.67,11.79,0.48,Azuay,2560
2019-07-23,150.97,3.15,11.09,2.85,Azuay,2560
2019-07-24,116.09,3.24,11.34,1.14,Azuay,2560
2019-07-25,147.78,3.33,11.93,0.62,Azuay,2560
2019-07-26,146.9,3.89,11.43,0.03,Azuay,2560
2019-07-27,140.97,4.26,10.82,2.75,Azuay,2560
2019-07-28,128.57,4.48,11.05,0.32,Azuay,2560
2019-07-29,172.14,3.48,10.81,0.0,Azuay,2560
2019-07-30,161.42,4.07,10.48,0.0,Azuay,2560
2019-07-31,155.54,4.41,10.28,0.56,Azuay,2560
2019-08-01,202.45,3.52,11.74,0.01,Azuay,2560
2019-08-02,131.42,3.48,12.37,1.13,Azuay,2560
2019-08-03,140.85,5.55,12.15,7.28,Azuay,2560
2019-08-04,165.56,6.3,10.06,11.81,Azuay,2560
2019-08-05,174.28,4.99,9.21,0.08,Azuay,2560
2019-08-06,140.77,4.03,9.77,0.0,Azuay,2560
2019-08-07,122.43,4.36,10.06,0.0,Azuay,2560
2019-08-08,127.86,5.16,10.61,0.64,Azuay,2560
2019-08-09,192.73,4.58,10.9,0.23,Azuay,2560
2019-08-10,190.3,4.9,11.23,0.89,Azuay,2560
2019-08-11,185.36,4.96,10.92,0.21,Azuay,2560
2019-08-12,163.94,4.82,11.59,0.02,Azuay,2560
2019-08-13,184.26,5.55,11.01,2.54,Azuay,2560
2019-08-14,89.96,6.23,10.39,12.06,Azuay,2560
2019-08-15,106.83,5.27,10.59,4.93,Azuay,2560
2019-08-16,155.96,3.88,10.34,0.28,Azuay,2560
2019-08-17,136.02,3.38,11.6,0.0,Azuay,2560
2019-08-18,172.28,3.91,12.06,0.0,Azuay,2560
2019-08-19,167.54,4.87,11.74,7.4,Azuay,2560
2019-08-20,230.69,4.69,11.63,1.3,Azuay,2560
2019-08-21,160.94,5.24,11.68,3.98,Azuay,2560
2019-08-22,80.82,5.43,11.37,4.45,Azuay,2560
2019-08-23,146.09,6.44,11.31,0.84,Azuay,2560
2019-08-24,137.37,5.04,11.58,0.83,Azuay,2560
2019-08-25,159.23,4.14,11.49,0.61,Azuay,2560
2019-08-26,191.79,4.96,11.35,0.2,Azuay,2560
2019-08-27,172.49,5.08,11.86,2.47,Azuay,2560
2019-08-28,176.01,5.76,11.34,8.29,Azuay,2560
2019-08-29,237.34,4.03,11.67,0.3,Azuay,2560
2019-08-30,175.79,3.8,11.66,0.0,Azuay,2560
2019-08-31,187.4,4.07,11.77,0.0,Azuay,2560
2019-09-01,206.89,4.01,12.08,0.0,Azuay,2560
2019-09-02,191.1,3.37,12.59,0.0,Azuay,2560
2019-09-03,246.48,4.01,12.92,0.06,Azuay,2560
2019-09-04,211.42,5.26,12.61,0.23,Azuay,2560
2019-09-05,206.67,4.45,12.29,0.15,Azuay,2560
2019-09-06,185.8,5.06,11.69,0.81,Azuay,2560
2019-09-07,222.2,4.35,12.08,0.55,Azuay,2560
2019-09-08,247.28,4.38,11.63,1.27,Azuay,2560
2019-09-09,164.02,4.54,12.38,0.12,Azuay,2560
2019-09-10,209.56,3.6,13.11,0.0,Azuay,2560
2019-09-11,236.65,3.55,13.08,0.95,Azuay,2560
2019-09-12,233.86,4.42,13.05,2.85,Azuay,2560
2019-09-13,245.73,5.22,12.15,0.78,Azuay,2560
2019-09-14,171.05,4.56,11.45,0.74,Azuay,2560
2019-09-15,199.07,4.55,12.43,0.0,Azuay,2560
2019-09-16,238.07,3.45,13.13,0.0,Azuay,2560
2019-09-17,139.38,3.01,13.62,0.76,Azuay,2560
2019-09-18,112.52,1.83,14.46,2.68,Azuay,2560
2019-09-19,151.21,1.96,15.03,0.06,Azuay,2560
2019-09-20,131.49,2.92,12.64,0.14,Azuay,2560
2019-09-21,139.62,3.67,12.63,0.17,Azuay,2560
2019-09-22,171.72,3.26,12.67,0.27,Azuay,2560
2019-09-23,170.61,3.59,11.92,3.45,Azuay,2560
2019-09-24,137.74,4.39,11.7,3.15,Azuay,2560
2019-09-25,172.82,4.44,12.08,0.1,Azuay,2560
2019-09-26,161.88,3.65,13.25,0.0,Azuay,2560
2019-09-27,170.48,3.24,12.75,0.0,Azuay,2560
2019-09-28,153.3,2.92,13.5,0.0,Azuay,2560
2019-09-29,191.51,2.22,14.73,4.82,Azuay,2560
2019-09-30,185.07,1.84,14.69,1.12,Azuay,2560
2019-10-01,215.17,1.86,13.8,1.37,Azuay,2560
2019-10-02,176.04,2.73,13.1,3.12,Azuay,2560
2019-10-03,112.17,3.52,12.06,2.41,Azuay,2560
2019-10-04,165.92,3.1,13.18,0.04,Azuay,2560
2019-10-05,183.36,2.31,13.86,0.0,Azuay,2560
2019-10-06,165.83,2.05,14.06,4.09,Azuay,2560
2019-10-07,134.16,3.46,13.45,9.3,Azuay,2560
2019-10-08,137.44,4.03,12.47,1.72,Azuay,2560
2019-10-09,179.53,4.33,12.42,0.0,Azuay,2560
2019-10-10,147.92,4.03,13.01,0.05,Azuay,2560
2019-10-11,170.61,4.16,13.04,0.01,Azuay,2560
2019-10-12,150.43,4.27,13.29,0.59,Azuay,2560
2019-10-13,123.05,4.25,12.9,1.47,Azuay,2560
2019-10-14,167.37,3.35,13.25,0.08,Azuay,2560
2019-10-15,125.45,3.1,13.39,1.22,Azuay,2560
2019-10-16,120.22,3.52,13.83,4.62,Azuay,2560
2019-10-17,147.07,2.21,13.49,14.57,Azuay,2560
2019-10-18,130.23,1.82,13.61,11.92,Azuay,2560
2019-10-19,189.41,2.88,14.03,3.94,Azuay,2560
2019-10-20,180.72,3.46,13.85,1.22,Azuay,2560
2019-10-21,146.82,2.07,14.07,0.12,Azuay,2560
2019-10-22,115.09,1.43,14.2,7.78,Azuay,2560
2019-10-23,126.33,1.92,13.43,4.61,Azuay,2560
2019-10-24,189.6,3.15,13.2,0.1,Azuay,2560
2019-10-25,155.78,3.98,13.22,7.66,Azuay,2560
2019-10-26,137.35,3.82,13.02,6.57,Azuay,2560
2019-10-27,147.77,3.23,13.58,3.67,Azuay,2560
2019-10-28,153.33,3.15,12.95,1.85,Azuay,2560
2019-10-29,165.44,2.68,12.74,2.98,Azuay,2560
2019-10-30,160.12,2.92,13.01,0.11,Azuay,2560
2019-10-31,177.32,2.88,13.56,0.7,Azuay,2560
2019-11-01,207.09,2.76,13.28,6.47,Azuay,2560
2019-11-02,163.13,1.96,14.06,4.2,Azuay,2560
2019-11-03,100.15,2.87,14.22,3.69,Azuay,2560
2019-11-04,153.3,2.65,14.85,2.89,Azuay,2560
2019-11-05,164.05,3.31,14.8,2.63,Azuay,2560
2019-11-06,182.4,4.26,14.46,6.39,Azuay,2560
2019-11-07,138.72,3.94,13.16,0.91,Azuay,2560
2019-11-08,121.71,2.68,13.55,0.2,Azuay,2560
2019-11-09,168.93,2.5,14.65,4.59,Azuay,2560
2019-11-10,147.89,2.41,15.03,1.94,Azuay,2560
2019-11-11,136.5,2.79,14.0,10.24,Azuay,2560
2019-11-12,133.16,1.7,14.24,15.1,Azuay,2560
2019-11-13,113.4,1.2,14.57,25.1,Azuay,2560
2019-11-14,141.03,1.42,14.42,12.71,Azuay,2560
2019-11-15,146.61,0.94,14.48,1.69,Azuay,2560
2019-11-16,129.22,1.48,13.98,0.08,Azuay,2560
2019-11-17,180.42,1.9,14.97,0.03,Azuay,2560
2019-11-18,194.36,2.16,14.7,0.44,Azuay,2560
2019-11-19,160.51,3.44,14.02,0.88,Azuay,2560
2019-11-20,148.56,2.97,13.32,0.04,Azuay,2560
2019-11-21,126.0,1.76,13.98,0.1,Azuay,2560
2019-11-22,172.75,1.43,14.57,2.94,Azuay,2560
2019-11-23,159.35,1.06,13.53,8.0,Azuay,2560
2019-11-24,123.5,2.64,13.49,5.44,Azuay,2560
2019-11-25,157.72,3.72,13.59,3.07,Azuay,2560
2019-11-26,165.26,3.87,13.77,0.54,Azuay,2560
2019-11-27,171.9,3.96,13.86,4.11,Azuay,2560
2019-11-28,135.18,2.99,14.31,0.59,Azuay,2560
2019-11-29,172.21,1.57,14.4,1.62,Azuay,2560
2019-11-30,103.3,1.95,15.11,0.57,Azuay,2560
2019-12-01,158.96,4.16,13.77,6.87,Azuay,2560
2019-12-02,166.36,4.08,13.34,0.94,Azuay,2560
2019-12-03,128.5,2.89,14.13,0.0,Azuay,2560
2019-12-04,175.76,2.07,14.19,6.24,Azuay,2560
2019-12-05,159.6,2.98,13.79,4.32,Azuay,2560
2019-12-06,122.85,2.44,13.58,1.6,Azuay,2560
2019-12-07,117.3,1.76,13.86,5.16,Azuay,2560
2019-12-08,139.7,1.76,14.49,6.58,Azuay,2560
2019-12-09,119.63,2.5,14.18,1.88,Azuay,2560
2019-12-10,185.82,2.25,13.74,0.63,Azuay,2560
2019-12-11,155.92,1.69,14.27,2.39,Azuay,2560
2019-12-12,168.77,1.27,13.86,0.49,Azuay,2560
2019-12-13,206.7,1.7,14.75,4.39,Azuay,2560
2019-12-14,185.91,1.97,14.32,1.25,Azuay,2560
2019-12-15,220.67,2.68,14.38,0.34,Azuay,2560
2019-12-16,178.61,2.44,14.0,0.04,Azuay,2560
2019-12-17,189.16,2.54,14.91,2.51,Azuay,2560
2019-12-18,217.71,3.1,14.93,9.93,Azuay,2560
2019-12-19,185.34,4.86,14.18,3.57,Azuay,2560
2019-12-20,172.67,4.48,13.59,0.98,Azuay,2560
2019-12-21,182.12,3.52,13.14,3.27,Azuay,2560
2019-12-22,178.11,3.65,13.77,6.06,Azuay,2560
2019-12-23,192.95,3.75,12.59,9.85,Azuay,2560
2019-12-24,169.41,3.39,13.17,1.3,Azuay,2560
2019-12-25,178.46,3.02,14.21,2.16,Azuay,2560
2019-12-26,175.38,3.88,14.6,0.5,Azuay,2560
2019-12-27,181.38,4.48,14.59,2.95,Azuay,2560
2019-12-28,194.9,3.33,15.03,2.63,Azuay,2560
2019-12-29,163.5,2.88,14.14,3.68,Azuay,2560
2019-12-30,132.55,2.16,14.17,8.93,Azuay,2560
2019-12-31,159.79,1.1,14.88,11.42,Azuay,2560
2020-01-01,147.88,1.19,13.75,4.33,Azuay,2560
2020-01-02,164.01,1.83,14.18,2.17,Azuay,2560
2020-01-03,154.05,1.91,13.95,3.6,Azuay,2560
2020-01-04,201.1,0.97,15.29,0.41,Azuay,2560
2020-01-05,158.19,1.62,15.7,1.23,Azuay,2560
2020-01-06,175.99,1.51,15.81,0.42,Azuay,2560
2020-01-07,139.63,2.66,15.09,0.0,Azuay,2560
2020-01-08,202.4,2.76,14.72,0.0,Azuay,2560
2020-01-09,241.78,3.84,13.47,0.18,Azuay,2560
2020-01-10,187.6,3.86,13.05,2.35,Azuay,2560
2020-01-11,158.92,3.82,12.87,1.36,Azuay,2560
2020-01-12,159.4,4.35,13.25,1.55,Azuay,2560
2020-01-13,176.54,4.22,13.56,0.7,Azuay,2560
2020-01-14,163.81,4.19,13.53,1.04,Azuay,2560
2020-01-15,140.97,4.06,14.02,0.21,Azuay,2560
2020-01-16,152.91,4.88,14.04,3.68,Azuay,2560
2020-01-17,184.29,5.96,13.78,4.06,Azuay,2560
2020-01-18,163.66,6.32,13.13,1.76,Azuay,2560
2020-01-19,149.9,4.68,12.65,2.58,Azuay,2560
2020-01-20,190.48,2.79,13.63,16.45,Azuay,2560
2020-01-21,146.33,1.85,15.38,1.75,Azuay,2560
2020-01-22,183.65,1.5,16.44,0.21,Azuay,2560
2020-01-23,154.62,1.37,14.62,0.27,Azuay,2560
2020-01-24,193.0,2.25,14.92,2.89,Azuay,2560
2020-01-25,161.07,1.66,14.11,17.85,Azuay,2560
2020-01-26,189.42,1.63,14.98,2.99,Azuay,2560
2020-01-27,176.92,1.81,15.44,0.55,Azuay,2560
2020-01-28,130.99,1.32,15.69,3.04,Azuay,2560
2020-01-29,174.13,1.52,14.42,6.27,Azuay,2560
2020-01-30,188.37,2.81,14.62,0.6,Azuay,2560
2020-01-31,184.55,4.04,13.73,0.69,Azuay,2560
2020-02-01,126.67,3.65,12.75,5.81,Azuay,2560
2020-02-02,173.6,3.08,12.93,5.92,Azuay,2560
2020-02-03,185.0,3.23,13.93,0.42,Azuay,2560
2020-02-04,202.55,2.89,13.98,0.05,Azuay,2560
2020-02-05,148.23,2.48,14.75,0.0,Azuay,2560
2020-02-06,215.95,2.33,15.24,0.0,Azuay,2560
2020-02-07,161.68,2.58,14.54,0.2,Azuay,2560
2020-02-08,171.83,1.96,15.4,2.52,Azuay,2560
2020-02-09,190.3,3.07,14.99,5.33,Azuay,2560
2020-02-10,161.97,4.37,14.18,1.41,Azuay,2560
2020-02-11,186.17,3.79,13.37,0.0,Azuay,2560
2020-02-12,163.82,3.72,14.05,4.87,Azuay,2560
2020-02-13,159.81,3.39,14.9,1.69,Azuay,2560
2020-02-14,148.11,3.98,15.23,1.65,Azuay,2560
2020-02-15,102.59,4.62,14.58,3.86,Azuay,2560
2020-02-16,166.48,3.84,13.74,2.37,Azuay,2560
2020-02-17,174.15,4.19,14.06,0.88,Azuay,2560
2020-02-18,159.57,4.97,14.29,0.44,Azuay,2560
2020-02-19,154.66,4.04,15.09,1.59,Azuay,2560
2020-02-20,161.3,2.59,15.53,0.44,Azuay,2560
2020-02-21,144.01,1.48,15.39,8.34,Azuay,2560
2020-02-22,203.7,1.74,15.03,7.21,Azuay,2560
2020-02-23,187.24,2.8,14.14,7.84,Azuay,2560
2020-02-24,110.29,1.82,15.33,1.61,Azuay,2560
2020-02-25,175.29,2.14,15.79,5.83,Azuay,2560
2020-02-26,185.29,1.49,15.06,9.05,Azuay,2560
2020-02-27,168.43,2.27,14.14,16.42,Azuay,2560
2020-02-28,169.99,2.65,14.77,2.8,Azuay,2560
2020-02-29,93.31,2.82,14.94,0.21,Azuay,2560
2020-03-01,133.93,2.69,14.25,2.71,Azuay,2560
2020-03-02,113.84,3.35,14.56,3.81,Azuay,2560
2020-03-03,150.87,3.02,14.23,0.87,Azuay,2560
2020-03-04,165.75,4.31,15.08,1.61,Azuay,2560
2020-03-05,115.58,5.02,14.99,2.94,Azuay,2560
2020-03-06,119.2,3.36,14.48,1.25,Azuay,2560
2020-03-07,164.61,3.22,15.17,5.93,Azuay,2560
2020-03-08,167.42,2.99,15.5,1.23,Azuay,2560
2020-03-09,160.62,4.77,15.61,1.96,Azuay,2560
2020-03-10,132.93,3.87,14.65,1.78,Azuay,2560
2020-03-11,147.81,2.83,14.42,3.23,Azuay,2560
2020-03-12,168.16,2.31,14.64,2.21,Azuay,2560
2020-03-13,183.27,2.97,14.91,10.42,Azuay,2560
2020-03-14,176.56,2.19,14.03,4.51,Azuay,2560
2020-03-15,200.44,2.33,15.4,1.44,Azuay,2560
2020-03-16,174.05,2.19,14.85,0.33,Azuay,2560
2020-03-17,201.79,2.01,14.21,0.12,Azuay,2560
2020-03-18,169.74,1.79,14.52,0.02,Azuay,2560
2020-03-19,187.63,1.85,14.88,0.01,Azuay,2560
2020-03-20,196.09,1.83,14.94,0.01,Azuay,2560
2020-03-21,247.94,1.42,14.96,0.0,Azuay,2560
2020-03-22,210.17,1.73,14.63,0.1,Azuay,2560
2020-03-23,193.05,2.7,13.77,0.01,Azuay,2560
2020-03-24,203.05,2.84,14.2,0.06,Azuay,2560
2020-03-25,167.12,2.47,14.75,0.04,Azuay,2560
